household_id,login_frequency_monthly,mobile_app_sessions,customer_service_calls_30d
HH_00512,8,5,1
HH_00513,13,4,2
HH_00514,10,3,1
HH_00515,17,6,1
HH_00516,16,5,2
HH_00517,12,7,1
HH_00518,7,3,0
HH_00519,14,8,1
HH_00520,10,10,1
HH_00521,14,4,1
HH_00522,6,6,1
HH_00523,18,6,0
HH_00524,6,3,1
HH_00525,12,8,4
HH_00526,18,5,1
HH_00527,11,8,3
HH_00528,13,8,1
HH_00529,9,3,1
HH_00530,11,6,3
HH_00531,15,10,0
HH_00532,10,3,0
HH_00533,12,4,2
HH_00534,14,3,2
HH_00535,19,4,0
HH_00536,10,3,0
HH_00537,10,1,0
HH_00538,14,4,1
HH_00539,11,6,0
HH_00540,15,8,0
HH_00541,9,7,1
HH_00542,19,4,0
HH_00543,6,5,0
HH_00544,17,5,2
HH_00545,17,5,1
HH_00546,12,3,0
HH_00547,12,7,1
HH_00548,13,4,0
HH_00549,12,7,1
HH_00550,13,3,0
HH_00551,14,4,0
HH_00552,11,4,0
HH_00553,11,5,2
HH_00554,11,1,3
HH_00555,13,8,0
HH_00556,9,2,0
HH_00557,19,5,0
HH_00558,8,7,1
HH_00559,7,7,0
HH_00560,14,9,2
HH_00561,9,4,0
HH_00562,14,6,2
HH_00563,8,5,0
HH_00564,13,6,0
HH_00565,12,5,3
HH_00566,10,2,1
HH_00567,12,4,1
HH_00568,13,4,3
HH_00569,15,4,1
HH_00570,19,1,2
HH_00571,11,6,1
HH_00572,14,3,2
HH_00573,8,7,0
HH_00574,22,4,2
HH_00575,10,5,2
HH_00576,10,3,1
HH_00577,9,7,0
HH_00578,11,5,0
HH_00579,9,7,0
HH_00580,9,2,1
HH_00581,16,9,1
HH_00582,13,2,0
HH_00583,13,2,1
HH_00584,6,5,1
HH_00585,6,4,3
HH_00586,18,6,0
HH_00587,8,2,1
HH_00588,11,9,2
HH_00589,7,8,0
HH_00590,10,3,0
HH_00591,13,7,0
HH_00592,5,4,0
HH_00593,18,8,1
HH_00594,17,9,3
HH_00595,21,4,1
HH_00596,14,6,4
HH_00597,16,5,0
HH_00598,6,1,1
HH_00599,21,4,0
HH_00600,21,2,0
HH_00601,12,5,0
HH_00602,13,4,0
HH_00603,9,2,1
HH_00604,13,4,1
HH_00605,11,5,0
HH_00606,12,6,1
HH_00607,13,8,3
HH_00608,7,6,1
HH_00609,14,9,0
HH_00610,8,6,0
HH_00611,11,2,0
HH_00612,17,3,2
HH_00613,11,3,0
HH_00614,17,3,1
HH_00615,5,3,0
HH_00616,13,1,0
HH_00617,9,4,1
HH_00618,10,7,1
HH_00619,9,6,2
HH_00620,16,5,0
HH_00621,12,4,1
HH_00622,15,2,1
HH_00623,8,4,1
HH_00624,12,4,3
HH_00625,10,6,1
HH_00626,10,3,1
HH_00627,12,7,1
HH_00628,16,5,1
HH_00629,10,6,0
HH_00630,10,3,0
HH_00631,15,6,3
HH_00632,8,9,0
HH_00633,12,11,0
HH_00634,14,4,0
HH_00635,9,6,1
HH_00636,9,6,3
HH_00637,14,3,1
HH_00638,16,7,0
HH_00639,11,4,0
HH_00640,11,2,1
HH_00641,18,4,0
HH_00642,12,8,1
HH_00643,5,6,2
HH_00644,9,0,2
HH_00645,10,7,0
HH_00646,17,5,1
HH_00647,13,4,1
HH_00648,12,5,0
HH_00649,10,7,1
HH_00650,6,8,0
HH_00651,21,4,3
HH_00652,18,6,0
HH_00653,9,6,1
HH_00654,11,5,1
HH_00655,6,4,3
HH_00656,12,4,0
HH_00657,14,3,0
HH_00658,10,1,1
HH_00659,11,8,0
HH_00660,15,7,0
HH_00661,13,9,0
HH_00662,14,6,0
HH_00663,12,4,1
HH_00664,9,4,3
HH_00665,13,7,0
HH_00666,12,4,0
HH_00667,13,4,1
HH_00668,10,3,3
HH_00669,7,3,1
HH_00670,14,5,1
HH_00671,11,7,2
HH_00672,16,5,1
HH_00673,15,3,1
HH_00674,13,5,2
HH_00675,19,7,1
HH_00676,13,9,1
HH_00677,15,3,0
HH_00678,13,2,0
HH_00679,7,4,0
HH_00680,12,7,0
HH_00681,9,3,2
HH_00682,8,8,2
HH_00683,8,3,0
HH_00684,12,4,0
HH_00685,14,7,0
HH_00686,8,6,1
HH_00687,15,3,0
HH_00688,17,7,1
HH_00689,11,4,4
HH_00690,13,2,1
HH_00691,15,5,0
HH_00692,14,5,1
HH_00693,11,7,2
HH_00694,25,5,2
HH_00695,10,7,2
HH_00696,19,6,1
HH_00697,17,3,1
HH_00698,11,7,1
HH_00699,15,4,0
HH_00700,11,3,1
HH_00701,10,6,1
HH_00702,17,5,0
HH_00703,16,2,1
HH_00704,7,2,0
HH_00705,12,7,4
HH_00706,7,3,1
HH_00707,9,6,2
HH_00708,8,5,0
HH_00709,12,4,1
HH_00710,7,6,1
HH_00711,12,2,0
HH_00712,9,4,2
HH_00713,11,4,0
HH_00714,13,3,3
HH_00715,16,7,1
HH_00716,12,4,2
HH_00717,12,5,0
HH_00718,12,3,1
HH_00719,15,6,0
HH_00720,19,9,1
HH_00721,14,6,1
HH_00722,9,5,1
HH_00723,13,4,1
HH_00724,9,7,0
HH_00725,13,4,1
HH_00726,17,5,1
HH_00727,16,6,0
HH_00728,12,8,1
HH_00729,17,2,1
HH_00730,9,6,0
HH_00731,10,10,2
HH_00732,10,5,1
HH_00733,16,5,3
HH_00734,14,2,1
HH_00735,9,3,2
HH_00736,5,8,0
HH_00737,13,3,2
HH_00738,10,4,1
HH_00739,15,5,1
HH_00740,17,3,1
HH_00741,15,6,2
HH_00742,16,4,0
HH_00743,12,5,4
HH_00744,5,5,2
HH_00745,8,1,3
HH_00746,10,7,0
HH_00747,14,5,2
HH_00748,12,3,1
HH_00749,17,9,0
HH_00750,13,6,1
HH_00751,14,7,0
HH_00752,16,4,2
HH_00753,13,2,0
HH_00754,13,5,2
HH_00755,10,3,1
HH_00756,9,4,1
HH_00757,11,9,1
HH_00758,7,6,2
HH_00759,11,8,1
HH_00760,15,5,1
HH_00761,13,6,1
HH_00762,6,5,0
HH_00763,7,2,3
HH_00764,15,6,0
HH_00765,10,7,1
HH_00766,7,3,2
HH_00767,14,2,1
HH_00768,17,3,1
HH_00769,12,1,0
HH_00770,14,8,0
HH_00771,9,2,3
HH_00772,15,5,1
HH_00773,14,6,2
HH_00774,14,7,2
HH_00775,11,4,1
HH_00776,15,6,0
HH_00777,11,6,3
HH_00778,13,4,0
HH_00779,8,5,1
HH_00780,8,7,2
HH_00781,8,5,1
HH_00782,10,8,1
HH_00783,6,2,1
HH_00784,17,6,0
HH_00785,11,8,1
HH_00786,14,5,1
HH_00787,10,4,0
HH_00788,15,6,1
HH_00789,11,5,1
HH_00790,16,10,1
HH_00791,12,1,2
HH_00792,14,7,1
HH_00793,8,5,2
HH_00794,8,7,1
HH_00795,11,3,2
HH_00796,6,3,1
HH_00797,16,7,1
HH_00798,15,4,1
HH_00799,11,5,1
HH_00800,7,5,0
HH_00801,10,8,0
HH_00802,7,5,0
HH_00803,6,6,0
HH_00804,13,7,0
HH_00805,15,6,1
HH_00806,12,6,2
HH_00807,17,5,0
HH_00808,16,3,1
HH_00809,11,4,0
HH_00810,11,6,1
HH_00811,14,4,0
HH_00812,9,8,1
HH_00813,12,5,0
HH_00814,13,5,0
HH_00815,3,8,1
HH_00816,9,4,0
HH_00817,7,2,1
HH_00818,9,6,0
HH_00819,9,3,0
HH_00820,12,6,1
HH_00821,11,4,2
HH_00822,16,8,1
HH_00823,12,9,3
HH_00824,15,4,0
HH_00825,11,3,1
HH_00826,9,3,1
HH_00827,16,4,0
HH_00828,11,6,0
HH_00829,16,8,1
HH_00830,10,8,4
HH_00831,11,4,1
HH_00832,11,5,0
HH_00833,11,4,0
HH_00834,10,5,3
HH_00835,10,5,0
HH_00836,6,6,1
HH_00837,12,1,0
HH_00838,10,6,1
HH_00839,15,6,2
HH_00840,17,8,0
HH_00841,9,6,1
HH_00842,11,6,1
HH_00843,10,5,0
HH_00844,17,5,1
HH_00845,13,5,2
HH_00846,10,1,2
HH_00847,12,7,0
HH_00848,17,3,1
HH_00849,12,5,0
HH_00850,11,5,2
HH_00851,13,2,1
HH_00852,14,6,0
HH_00853,12,6,1
HH_00854,16,3,1
HH_00855,13,4,0
HH_00856,11,5,1
HH_00857,12,2,3
HH_00858,28,4,0
HH_00859,11,3,5
HH_00860,18,4,1
HH_00861,13,6,1
HH_00862,9,8,1
HH_00863,12,5,1
HH_00864,16,3,2
HH_00865,17,7,0
HH_00866,11,5,2
HH_00867,13,2,0
HH_00868,18,3,2
HH_00869,14,6,1
HH_00870,10,9,2
HH_00871,11,4,0
HH_00872,13,6,0
HH_00873,8,5,0
HH_00874,11,6,1
HH_00875,12,4,2
HH_00876,14,2,2
HH_00877,10,8,1
HH_00878,9,4,1
HH_00879,9,2,2
HH_00880,10,4,1
HH_00881,7,5,2
HH_00882,8,5,0
HH_00883,7,5,2
HH_00884,8,6,1
HH_00885,14,8,2
HH_00886,13,2,2
HH_00887,10,7,0
HH_00888,7,3,2
HH_00889,11,6,0
HH_00890,13,5,2
HH_00891,11,6,0
HH_00892,26,4,0
HH_00893,16,5,1
HH_00894,17,4,0
HH_00895,15,6,1
HH_00896,12,8,2
HH_00897,18,7,1
HH_00898,11,2,0
HH_00899,16,3,0
HH_00900,18,5,1
HH_00901,16,5,2
HH_00902,16,8,2
HH_00903,12,6,1
HH_00904,10,6,0
HH_00905,21,5,2
HH_00906,17,5,0
HH_00907,14,4,2
HH_00908,7,5,0
HH_00909,14,4,2
HH_00910,21,4,0
HH_00911,11,6,1
HH_00912,10,4,2
HH_00913,17,10,0
HH_00914,13,6,0
HH_00915,7,3,1
HH_00916,11,4,0
HH_00917,12,5,2
HH_00918,11,6,2
HH_00919,11,5,1
HH_00920,16,4,1
HH_00921,12,4,2
HH_00922,12,2,0
HH_00923,16,10,2
HH_00924,12,10,1
HH_00925,10,7,2
HH_00926,11,6,0
HH_00927,12,8,2
HH_00928,11,4,0
HH_00929,10,6,3
HH_00930,14,10,0
HH_00931,13,3,0
HH_00932,12,6,1
HH_00933,11,3,0
HH_00934,11,3,1
HH_00935,12,5,1
HH_00936,11,3,2
HH_00937,12,6,0
HH_00938,14,7,1
HH_00939,18,11,1
HH_00940,15,5,1
HH_00941,11,10,0
HH_00942,8,3,2
HH_00943,10,6,2
HH_00944,10,14,2
HH_00945,10,4,0
HH_00946,17,3,1
HH_00947,9,4,1
HH_00948,15,5,2
HH_00949,15,7,0
HH_00950,11,7,2
HH_00951,12,6,2
HH_00952,9,5,1
HH_00953,11,5,1
HH_00954,13,4,1
HH_00955,7,2,0
HH_00956,13,3,2
HH_00957,8,6,1
HH_00958,11,8,2
HH_00959,16,1,1
HH_00960,8,5,0
HH_00961,8,9,1
HH_00962,8,3,1
HH_00963,18,4,1
HH_00964,10,2,0
HH_00965,9,3,0
HH_00966,15,4,1
HH_00967,14,2,1
HH_00968,13,3,0
HH_00969,17,4,1
HH_00970,12,5,0
HH_00971,19,4,0
HH_00972,12,5,0
HH_00973,10,6,0
HH_00974,10,7,0
HH_00975,9,3,0
HH_00976,12,6,0
HH_00977,11,3,0
HH_00978,10,6,0
HH_00979,7,6,0
HH_00980,10,3,2
HH_00981,14,3,2
HH_00982,10,7,2
HH_00983,10,6,0
HH_00984,11,6,2
HH_00985,9,4,0
HH_00986,17,6,1
HH_00987,19,4,1
HH_00988,9,6,1
HH_00989,13,3,2
HH_00990,10,3,0
HH_00991,13,6,1
HH_00992,12,3,2
HH_00993,14,3,1
HH_00994,11,5,0
HH_00995,9,6,1
HH_00996,17,6,3
HH_00997,12,6,2
HH_00998,10,7,3
HH_00999,13,7,1
HH_01000,8,4,0
HH_01001,12,9,2
HH_01002,15,6,0
HH_01003,11,5,2
HH_01004,16,4,0
HH_01005,11,3,2
HH_01006,17,8,1
HH_01007,7,3,1
HH_01008,15,10,4
HH_01009,7,2,0
HH_01010,8,4,2
HH_01011,15,3,2
HH_01012,11,7,0
HH_01013,14,3,3
HH_01014,9,5,0
HH_01015,13,8,0
HH_01016,20,6,1
HH_01017,18,4,2
HH_01018,12,7,1
HH_01019,6,6,0
HH_01020,10,6,1
HH_01021,13,7,0
HH_01022,11,6,0
HH_01023,11,5,1
HH_01024,20,5,0
HH_01025,12,4,0
HH_01026,10,8,0
HH_01027,12,4,1
HH_01028,10,1,1
HH_01029,10,3,1
HH_01030,10,5,2
HH_01031,12,4,1
HH_01032,12,8,0
HH_01033,15,4,0
HH_01034,9,5,0
HH_01035,18,5,1
HH_01036,16,4,1
HH_01037,18,5,1
HH_01038,7,5,0
HH_01039,18,5,1
HH_01040,11,6,5
HH_01041,6,2,4
HH_01042,12,8,0
HH_01043,13,9,2
HH_01044,13,5,0
HH_01045,19,5,1
HH_01046,15,4,0
HH_01047,19,4,1
HH_01048,18,4,2
HH_01049,13,9,4
HH_01050,15,2,1
HH_01051,18,5,0
HH_01052,18,7,3
HH_01053,16,3,0
HH_01054,16,4,1
HH_01055,12,7,2
HH_01056,13,2,2
HH_01057,12,4,0
HH_01058,10,7,2
HH_01059,13,8,0
HH_01060,12,8,1
HH_01061,13,5,1
HH_01062,15,5,0
HH_01063,4,7,0
HH_01064,8,2,1
HH_01065,11,6,0
HH_01066,12,3,2
HH_01067,8,5,0
HH_01068,8,6,1
HH_01069,9,3,0
HH_01070,18,9,1
HH_01071,12,8,0
HH_01072,12,7,0
HH_01073,14,5,0
HH_01074,10,5,1
HH_01075,6,2,2
HH_01076,10,4,2
HH_01077,13,6,2
HH_01078,7,7,0
HH_01079,11,6,0
HH_01080,8,4,0
HH_01081,9,1,2
HH_01082,16,7,2
HH_01083,11,3,1
HH_01084,12,7,2
HH_01085,11,4,0
HH_01086,8,8,1
HH_01087,9,4,3
HH_01088,12,5,0
HH_01089,8,2,1
HH_01090,18,7,0
HH_01091,17,3,2
HH_01092,12,8,0
HH_01093,8,5,0
HH_01094,15,4,2
HH_01095,12,5,4
HH_01096,12,4,0
HH_01097,12,1,1
HH_01098,14,4,0
HH_01099,11,2,3
HH_01100,14,7,1
HH_01101,10,5,3
HH_01102,11,7,2
HH_01103,20,4,1
HH_01104,18,4,0
HH_01105,5,6,1
HH_01106,19,2,0
HH_01107,12,3,0
HH_01108,18,3,0
HH_01109,12,7,1
HH_01110,15,10,0
HH_01111,19,4,3
HH_01112,8,3,0
HH_01113,8,4,0
HH_01114,10,1,0
HH_01115,10,3,1
HH_01116,7,7,2
HH_01117,13,7,0
HH_01118,7,6,3
HH_01119,6,2,0
HH_01120,9,2,2
HH_01121,12,6,0
HH_01122,11,4,1
HH_01123,8,5,3
HH_01124,13,5,1
HH_01125,12,8,2
HH_01126,11,10,1
HH_01127,11,7,0
HH_01128,10,9,0
HH_01129,9,5,1
HH_01130,12,6,0
HH_01131,17,1,0
HH_01132,14,4,1
HH_01133,12,7,4
HH_01134,16,2,0
HH_01135,14,3,1
HH_01136,13,3,2
HH_01137,10,3,2
HH_01138,19,3,0
HH_01139,7,3,0
HH_01140,10,5,1
HH_01141,8,4,0
HH_01142,14,6,2
HH_01143,12,1,3
HH_01144,19,9,0
HH_01145,8,4,3
HH_01146,8,9,0
HH_01147,12,5,1
HH_01148,11,2,3
HH_01149,10,6,0
HH_01150,12,3,0
HH_01151,15,7,1
HH_01152,15,2,1
HH_01153,9,8,1
HH_01154,14,4,0
HH_01155,12,4,4
HH_01156,11,2,2
HH_01157,9,7,0
HH_01158,9,6,1
HH_01159,10,0,1
