"age;""job"";""marital"";""education"";""default"";""housing"";""loan"";""contact"";""month"";""day_of_week"";""duration"";""campaign"";""pdays"";""previous"";""poutcome"";""emp.var.rate"";""cons.price.idx"";""cons.conf.idx"";""euribor3m"";""nr.employed"";""y""",household_id,total_spend,avg_transaction_amount,transaction_count,login_frequency_monthly,mobile_app_sessions,customer_service_calls_30d,credit_score,debt_to_income_ratio,delinquency_flag_90d
"41;""blue-collar"";""married"";""unknown"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";55;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00010,3.119896199870793,3.119896199870793,1,14,6,3,804,0.2166695006784596,1
"25;""services"";""single"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";222;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00011,525.5336212737468,525.5336212737468,1,24,2,0,747,0.2903956086006027,0
"29;""blue-collar"";""single"";""high.school"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";137;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00012,267.96443150320124,267.96443150320124,1,9,4,0,771,0.5302873354126632,0
"57;""housemaid"";""divorced"";""basic.4y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";293;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00013,35.80314378734205,35.80314378734205,1,12,9,1,665,0.1748196076462884,1
"35;""blue-collar"";""married"";""basic.6y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";146;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00014,30.101848312449505,30.101848312449505,1,8,4,0,805,0.4163227896130081,0
"54;""retired"";""married"";""basic.9y"";""unknown"";""yes"";""yes"";""telephone"";""may"";""mon"";174;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00015,30.39171342483856,30.39171342483856,1,12,3,0,758,0.4682553450954619,0
"35;""blue-collar"";""married"";""basic.6y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";312;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00016,54.413059419071566,54.413059419071566,1,5,9,0,695,0.3120507300629654,0
"46;""blue-collar"";""married"";""basic.6y"";""unknown"";""yes"";""yes"";""telephone"";""may"";""mon"";440;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00017,111.58917462912817,111.58917462912817,1,8,4,0,638,0.1363954381742477,0
"50;""blue-collar"";""married"";""basic.9y"";""no"";""yes"";""yes"";""telephone"";""may"";""mon"";353;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00018,84.8305600170505,84.8305600170505,1,11,4,0,705,0.5380825633013115,0
"39;""management"";""single"";""basic.9y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";195;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00019,51.633448883091226,51.633448883091226,1,9,3,0,749,0.2279420838744915,1
"30;""unemployed"";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";38;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00020,141.9556310849698,141.9556310849698,1,21,4,1,748,0.5833862494785316,0
"55;""blue-collar"";""married"";""basic.4y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";262;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00021,22.5351793091008,22.5351793091008,1,15,2,1,705,0.2125402568197172,0
"55;""retired"";""single"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";342;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00022,51.82732680036034,51.82732680036034,1,21,6,0,755,0.3050679967746791,0
"41;""technician"";""single"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";181;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00023,68.44158273312706,68.44158273312706,1,12,8,0,809,0.4059903349415645,0
"37;""admin."";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";172;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00024,91.34020317896623,91.34020317896623,1,9,1,2,604,0.4861595324372669,0
"35;""technician"";""married"";""university.degree"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";99;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00025,230.6904016546368,230.6904016546368,1,6,4,0,781,0.5611127220226357,0
"59;""technician"";""married"";""unknown"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";93;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00026,33.410379319303544,33.410379319303544,1,12,2,2,700,0.2986673941209269,1
"39;""self-employed"";""married"";""basic.9y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";233;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00027,108.30437325496916,108.30437325496916,1,8,8,0,780,0.5426828862298506,0
"54;""technician"";""single"";""university.degree"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";255;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00028,134.62570819646407,134.62570819646407,1,13,2,0,686,0.188717860083679,0
"55;""unknown"";""married"";""university.degree"";""unknown"";""unknown"";""unknown"";""telephone"";""may"";""mon"";362;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00029,7.134577463461282,7.134577463461282,1,11,4,0,594,0.4759056083879539,0
"46;""admin."";""married"";""unknown"";""no"";""no"";""no"";""telephone"";""may"";""mon"";348;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00030,140.29995309744152,140.29995309744152,1,13,3,0,695,0.4517753489442966,1
"59;""technician"";""married"";""unknown"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";386;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00031,28.044187796612466,28.044187796612466,1,12,8,2,731,0.5040591571555051,0
"49;""blue-collar"";""married"";""unknown"";""no"";""no"";""no"";""telephone"";""may"";""mon"";73;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00032,10.089589631895636,10.089589631895636,1,12,8,2,707,0.5282284885979225,0
"54;""management"";""married"";""basic.4y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";230;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00033,446.0531690260396,446.0531690260396,1,9,9,4,754,0.297991719487937,0
"54;""blue-collar"";""divorced"";""basic.4y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";208;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00034,505.5945513691759,505.5945513691759,1,11,10,1,599,0.4032548813020161,0
"55;""unknown"";""married"";""basic.4y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";336;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00035,247.8497359219315,247.8497359219315,1,13,2,0,681,0.4789846570358756,0
"34;""services"";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";365;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00036,54.49317899531374,54.49317899531374,1,12,6,4,627,0.5088797101178596,0
"52;""technician"";""married"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";1666;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00037,15.416597250375936,15.416597250375936,1,18,11,0,725,0.2819917701437042,0
"41;""admin."";""married"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";577;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00038,172.91261446479928,172.91261446479928,1,11,3,1,713,0.3811518399781053,0
"56;""technician"";""married"";""basic.4y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";137;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00039,87.01362638780975,87.01362638780975,1,10,7,2,693,0.3950449054985164,0
"58;""management"";""unknown"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";366;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00040,19.52283509316729,19.52283509316729,1,14,7,0,601,0.2848366769401662,1
"32;""entrepreneur"";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";314;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00041,102.53208422012251,102.53208422012251,1,10,7,3,752,0.5701705141036824,0
"38;""admin."";""single"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""mon"";160;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00042,5.249058216521862,5.249058216521862,1,10,3,1,710,0.199994053857145,0
"57;""admin."";""married"";""university.degree"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";212;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00043,360.0634331089536,360.0634331089536,1,14,8,1,703,0.454663409646154,0
"44;""admin."";""married"";""university.degree"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";188;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00044,44.91866652610291,44.91866652610291,1,12,4,1,788,0.4304971701935521,0
"42;""technician"";""single"";""professional.course"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";22;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00045,162.93836978474704,162.93836978474704,1,9,7,0,761,0.5022688996009691,1
"57;""admin."";""married"";""university.degree"";""no"";""yes"";""yes"";""telephone"";""may"";""mon"";616;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00046,56.03198724864355,56.03198724864355,1,4,2,2,639,0.5830039136727803,0
"40;""blue-collar"";""married"";""basic.9y"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";178;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00047,110.11663438638428,110.11663438638428,1,14,4,0,737,0.5480040862691479,1
"35;""admin."";""married"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";355;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00048,118.68356969726965,118.68356969726965,1,9,3,0,635,0.5255113082437278,0
"45;""blue-collar"";""married"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";225;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00049,30.658289926185866,30.658289926185866,1,11,4,0,814,0.470283799482062,0
"54;""admin."";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";160;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00050,523.921069910434,523.921069910434,1,10,7,0,604,0.2250886449154645,0
"39;""housemaid"";""married"";""basic.4y"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";266;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00051,223.8368065707211,223.8368065707211,1,9,10,0,768,0.5499974771196525,0
"60;""admin."";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";253;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00052,420.76416289373736,420.76416289373736,1,12,3,5,727,0.3480654685159667,0
"53;""admin."";""single"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""mon"";179;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00053,337.8227996301295,337.8227996301295,1,13,4,0,772,0.3505218090551063,0
"55;""blue-collar"";""married"";""basic.4y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";269;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00054,136.65816185749125,136.65816185749125,1,8,5,2,741,0.2630445403375461,0
"55;""technician"";""married"";""professional.course"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";135;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00055,382.4153068904108,382.4153068904108,1,12,5,0,618,0.2691474426450935,0
"50;""management"";""married"";""university.degree"";""unknown"";""no"";""yes"";""telephone"";""may"";""mon"";161;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00056,13.898318842967344,13.898318842967344,1,14,6,0,587,0.3732520946192929,1
"45;""services"";""married"";""high.school"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";787;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00057,32.72020419469012,32.72020419469012,1,13,2,0,813,0.5095544777929792,0
"55;""unemployed"";""married"";""professional.course"";""unknown"";""yes"";""yes"";""telephone"";""may"";""mon"";145;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00058,6.942294853024793,6.942294853024793,1,12,3,2,586,0.4708768803484697,0
"25;""technician"";""single"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";174;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00059,59.029813020463024,59.029813020463024,1,12,6,1,696,0.4424330191085147,0
"47;""entrepreneur"";""married"";""university.degree"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";449;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00060,73.81954376913279,73.81954376913279,1,17,1,0,621,0.5730262339493427,0
"51;""blue-collar"";""married"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";812;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00061,47.48406648132386,47.48406648132386,1,11,9,0,645,0.2023247831777184,0
"42;""blue-collar"";""married"";""basic.6y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";164;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00062,264.6836797861401,264.6836797861401,1,11,5,0,770,0.5773745492746166,0
"42;""blue-collar"";""married"";""basic.6y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";366;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00063,66.18404992948052,66.18404992948052,1,9,4,3,663,0.3351508069528127,0
"48;""admin."";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";357;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00064,49.47042602013738,49.47042602013738,1,12,2,0,652,0.1022151597711172,0
"37;""admin."";""married"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""mon"";232;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00065,117.3610624811619,117.3610624811619,1,13,5,1,722,0.1155691724501392,0
"44;""blue-collar"";""single"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";91;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00066,22.784722173094327,22.784722173094327,1,17,2,0,624,0.1243075136820582,0
"33;""admin."";""married"";""unknown"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";273;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00067,243.0725393662097,243.0725393662097,1,10,7,2,794,0.3970489559994516,1
"56;""admin."";""married"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";158;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00068,11.621380321696352,11.621380321696352,1,12,8,1,587,0.3191932663073471,0
"44;""blue-collar"";""single"";""basic.4y"";""unknown"";""yes"";""yes"";""telephone"";""may"";""mon"";177;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00069,650.1219509380979,650.1219509380979,1,14,3,1,694,0.4697254369030577,0
"41;""management"";""married"";""basic.6y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";200;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00070,221.9225664362267,221.9225664362267,1,6,5,1,787,0.4953264478892398,0
"44;""management"";""divorced"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";172;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00071,33.230916075882895,33.230916075882895,1,10,6,2,599,0.3887982199675277,0
"47;""admin."";""married"";""university.degree"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";176;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00072,0.8306130563903212,0.8306130563903212,1,15,4,1,635,0.4877169442094466,1
"57;""unknown"";""married"";""unknown"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";211;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00073,253.4845166229189,253.4845166229189,1,6,2,0,621,0.4175795361498435,0
"37;""admin."";""married"";""university.degree"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";214;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00074,184.0643861080567,184.0643861080567,1,14,5,2,641,0.4496128988776041,0
"41;""blue-collar"";""divorced"";""basic.4y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";1575;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""yes""",HH_00075,195.84943631819985,195.84943631819985,1,9,7,1,596,0.4833074365114376,0
"55;""technician"";""married"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""mon"";349;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00076,221.282178906527,221.282178906527,1,16,4,1,806,0.3821270426245087,0
"33;""services"";""married"";""high.school"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";337;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00077,11.539389827069453,11.539389827069453,1,14,4,1,634,0.4567104391027324,0
"55;""management"";""married"";""unknown"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";272;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00078,66.58390086243487,66.58390086243487,1,12,7,0,733,0.1675442570010251,0
"42;""blue-collar"";""married"";""basic.9y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";208;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00079,18.472515690667446,18.472515690667446,1,9,5,2,723,0.5179883029348548,0
"50;""blue-collar"";""married"";""basic.4y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";193;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00080,298.2794357487334,298.2794357487334,1,14,1,2,793,0.588490120394093,0
"51;""blue-collar"";""married"";""basic.4y"";""unknown"";""unknown"";""unknown"";""telephone"";""may"";""mon"";212;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00081,146.4451787568561,146.4451787568561,1,10,5,2,634,0.3375355700433137,0
"38;""admin."";""married"";""high.school"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";165;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00082,60.272820187695146,60.272820187695146,1,16,3,1,670,0.5393844987124421,1
"49;""entrepreneur"";""married"";""university.degree"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";1042;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""yes""",HH_00083,9.850209870717434,9.850209870717434,1,15,5,2,804,0.2549287517139966,0
"38;""technician"";""single"";""university.degree"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";20;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00084,55.87325256155306,55.87325256155306,1,11,9,2,708,0.2367715159282103,0
"31;""admin."";""divorced"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";246;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00085,58.9971319776197,58.9971319776197,1,20,5,0,603,0.1733959996085604,0
"41;""management"";""married"";""basic.6y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";529;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00086,196.18136759366112,196.18136759366112,1,14,6,2,797,0.3478667658346039,0
"39;""admin."";""married"";""university.degree"";""no"";""yes"";""yes"";""telephone"";""may"";""mon"";192;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00087,152.233403838903,152.233403838903,1,11,4,1,671,0.5706496984332344,0
"49;""technician"";""married"";""basic.9y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";1467;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""yes""",HH_00088,327.3377868602272,327.3377868602272,1,10,9,0,720,0.1155018154088929,0
"34;""admin."";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";188;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00089,95.85992000644649,95.85992000644649,1,10,3,1,793,0.2989115666399823,0
"35;""admin."";""married"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";180;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00090,19.105859042325285,19.105859042325285,1,17,4,1,693,0.3777753240801375,0
"57;""unknown"";""married"";""unknown"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";48;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00091,187.36895164748992,187.36895164748992,1,14,2,3,730,0.5957456817611188,0
"60;""admin."";""married"";""unknown"";""unknown"";""no"";""yes"";""telephone"";""may"";""mon"";213;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00092,214.5589129615296,214.5589129615296,1,9,5,1,800,0.5608103950537284,0
"33;""unemployed"";""married"";""basic.9y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";545;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00093,123.58312423287433,123.58312423287433,1,10,6,1,722,0.248088019765676,0
"42;""blue-collar"";""married"";""basic.6y"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";583;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00094,221.08349500820464,221.08349500820464,1,13,4,0,711,0.2512072244025261,1
"45;""services"";""married"";""professional.course"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";221;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00095,102.12220972654168,102.12220972654168,1,10,5,0,801,0.4825171729416199,0
"42;""management"";""married"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""mon"";426;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00096,110.95182581659006,110.95182581659006,1,9,8,2,755,0.3950479528403154,0
"53;""admin."";""divorced"";""university.degree"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";287;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00097,83.6721290862641,83.6721290862641,1,10,5,0,752,0.4807690370510253,0
"37;""technician"";""single"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""mon"";197;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00098,3.862166098517059,3.862166098517059,1,11,4,2,689,0.5631568238358249,0
"44;""blue-collar"";""married"";""basic.6y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";257;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00099,17.125115278779877,17.125115278779877,1,15,7,2,799,0.1522184785780095,0
"54;""services"";""married"";""unknown"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";229;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00100,4.790052193958074,4.790052193958074,1,13,4,0,798,0.1255865862034741,0
"49;""blue-collar"";""married"";""basic.4y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";55;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00101,151.75943263913243,151.75943263913243,1,10,8,0,690,0.4568253431492677,0
"54;""services"";""married"";""unknown"";""no"";""no"";""no"";""telephone"";""may"";""mon"";400;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no""",HH_00102,56.60950631926497,56.60950631926497,1,12,5,2,691,0.2389584172473107,0
